"team","player","position","status","details"
"TB","Christian Izien","S","Out","QUESTIONABLE"
"TEN","Will Levis","QB","Injured Reserve - RES","IR"
"TEN","Treylon Burks","WR","Injured Reserve","IR"
"TEN","Bryce Oliver","WR","Out","QUESTIONABLE"
"TEN","Blake Hance","G","Out","QUESTIONABLE"
"TEN","Arden Key","LB","Questionable","QUESTIONABLE"
"TEN","Mike Brown","S","Injured Reserve","IR"
"TEN","JC Latham","OT","Out","QUESTIONABLE"
"WAS","Terry McLaurin","WR","Out","QUESTIONABLE"
"WAS","Noah Brown","WR","Out","QUESTIONABLE"
"WAS","Sam Cosmi","G","Out","PUP-R"
"WAS","Javontae Jean-Baptiste","DE","Injured Reserve","IR"
